bin_timestamp,bin_index,active_jobs,cpu_ReadMB_sum,cpu_WriteMB_sum,cpu_ReadMB_max,cpu_WriteMB_max,cpu_CPUUtilization_mean,cpu_CPUUtilization_max,cpu_RSS_max,gpu_utilization_gpu_pct_mean,gpu_utilization_gpu_pct_max,gpu_memory_used_MiB_max,gpu_power_draw_W_mean
2021-04-16 00:00:00+00:00,0,0,300093,29709,6777,2917,188,4776,544079992,0,0,0,0
2021-04-16 00:05:00+00:00,1,0,240243,33796,7553,2047,219,4798,587311040,0,0,0,0
2021-04-16 00:10:00+00:00,2,0,187427,20088,3269,1414,216,4756,608546724,0,0,0,0
2021-04-16 00:15:00+00:00,3,0,216659,19846,7007,734,227,4794,1199308004,0,0,0,0
2021-04-16 00:20:00+00:00,4,0,201087,20596,3024,2929,228,4785,1197552924,0,0,0,0
2021-04-16 00:25:00+00:00,5,0,204895,20246,5217,674,805,1854625,1198420976,0,0,0,0
2021-04-16 00:30:00+00:00,6,0,184891,22094,3099,1689,212,4782,1201131184,0,0,0,0
2021-04-16 00:35:00+00:00,7,0,177184,12943,2166,297,188,3298,1212677984,0,0,0,0
2021-04-16 00:40:00+00:00,8,0,171696,20994,7033,2330,188,3350,1215640720,0,0,0,0
2021-04-16 00:45:00+00:00,9,0,180937,15549,5217,446,240,79700,1221812572,0,0,0,0
2021-04-16 00:50:00+00:00,10,0,179654,14241,3175,1401,202,3348,1221238608,0,0,0,0
2021-04-16 00:55:00+00:00,11,0,101934,15921,7555,2959,192,4797,1231735416,0,0,0,0
2021-04-16 01:00:00+00:00,12,0,42749,13915,5393,685,200,4795,1222545512,0,0,0,0
2021-04-16 01:05:00+00:00,13,0,28211,13223,3083,1541,198,3470,1223499264,0,0,0,0
2021-04-16 01:10:00+00:00,14,0,31982,15149,2673,2602,200,3315,1225004888,0,0,0,0
2021-04-16 01:15:00+00:00,15,0,36914,13166,7493,685,206,3336,1223137140,0,0,0,0
2021-04-16 01:20:00+00:00,16,0,23255,13511,3184,1712,183,3359,1219735876,0,0,0,0
2021-04-16 01:25:00+00:00,17,0,23319,9803,7075,659,180,3358,1204096544,0,0,0,0
2021-04-16 01:30:00+00:00,18,0,24130,13098,1800,1681,184,3353,1206557340,0,0,0,0
2021-04-16 01:35:00+00:00,19,0,43475,12937,7525,542,211,4798,1213923880,0,0,0,0
2021-04-16 01:40:00+00:00,20,0,29325,14982,3187,1793,182,3520,1213135564,0,0,0,0
2021-04-16 01:45:00+00:00,21,0,36547,14596,10973,1743,204,3782,1216609708,0,0,0,0
2021-04-16 01:50:00+00:00,22,2,22910,13162,3871,1430,200,3787,1217307324,0,0,0,0
2021-04-16 01:55:00+00:00,23,2,21547,14574,1863,1785,187,4788,1217884500,0,0,0,0
2021-04-16 02:00:00+00:00,24,2,49537,12056,16003,685,215,3555,1222113224,0,0,0,0
2021-04-16 02:05:00+00:00,25,2,15363,13724,3086,1543,194,4788,1220794164,0,0,0,0
2021-04-16 02:10:00+00:00,26,2,28757,11348,6885,2531,114,2564,1171927768,0,0,0,0
2021-04-16 02:15:00+00:00,27,2,17775,13961,1693,2114,130,2681,1168156968,0,0,0,0
2021-04-16 02:20:00+00:00,28,2,18148,12633,6977,1390,144,3392,1169689672,0,0,0,0
2021-04-16 02:25:00+00:00,29,2,29814,16283,3871,2098,122,2683,1163390976,0,0,0,0
2021-04-16 02:30:00+00:00,30,2,21912,11422,7161,361,150,2671,1166975964,0,0,0,0
2021-04-16 02:35:00+00:00,31,2,12740,12118,2112,813,147,2705,1171584560,0,0,0,0
2021-04-16 02:40:00+00:00,32,2,35088,16827,3871,3470,123,2675,1173754680,0,0,0,0
2021-04-16 02:45:00+00:00,33,2,19867,11108,7176,541,147,2667,1169840244,0,0,0,0
2021-04-16 02:50:00+00:00,34,2,11950,14451,3099,1549,150,2880,1172468444,0,0,0,0
2021-04-16 02:55:00+00:00,35,2,26640,11398,3871,1838,125,2674,1170182568,0,0,0,0
2021-04-16 03:00:00+00:00,36,2,18007,12285,7021,1043,137,2675,1169081316,0,0,0,0
2021-04-16 03:05:00+00:00,37,2,27587,13592,3871,2146,127,2677,1176306024,0,0,0,0
2021-04-16 03:10:00+00:00,38,2,18669,11893,6920,1086,140,2685,1174369632,0,0,0,0
2021-04-16 03:15:00+00:00,39,2,27890,14999,3871,2230,130,2685,1175601308,0,0,0,0
2021-04-16 03:20:00+00:00,40,2,21888,11173,5222,1378,148,2680,1179303168,0,0,0,0
2021-04-16 03:25:00+00:00,41,2,18865,13146,2733,2619,130,2672,1177069320,0,0,0,0
2021-04-16 03:30:00+00:00,42,2,24538,13987,7937,1412,141,2665,1175100196,0,0,0,0
2021-04-16 03:35:00+00:00,43,2,16902,14406,3690,3547,125,2677,1179111440,0,0,0,0
2021-04-16 03:40:00+00:00,44,2,16751,11632,6992,458,145,2686,1175726224,0,0,0,0
2021-04-16 03:45:00+00:00,45,2,8915,12286,2443,1225,145,3050,1180231856,0,0,0,0
2021-04-16 03:50:00+00:00,46,2,19812,16717,4678,4503,141,2679,1176425944,0,0,0,0
2021-04-16 03:55:00+00:00,47,2,756871,202263,728860,189441,146,2681,1179975428,0,0,0,0
2021-04-16 04:00:00+00:00,48,2,19415,14674,3100,1743,128,2971,1175461684,0,0,0,0
2021-04-16 04:05:00+00:00,49,2,25689,15683,4970,3699,135,2674,1180132704,0,0,0,0
2021-04-16 04:10:00+00:00,50,2,23289,12127,7530,1387,160,2676,1181898368,0,0,0,0
2021-04-16 04:15:00+00:00,51,2,11993,6120,3530,1380,139,3123,1181720636,0,0,0,0
2021-04-16 04:20:00+00:00,52,2,18389,6921,3066,2909,121,2685,1152890368,0,0,0,0
2021-04-16 04:25:00+00:00,53,2,15093,4101,5718,643,149,2678,1162028348,0,0,0,0
2021-04-16 04:30:00+00:00,54,2,8878,3930,1855,287,150,2673,1162416592,0,0,0,0
2021-04-16 04:35:00+00:00,55,2,10611,6532,3064,1816,118,3288,1154527264,0,0,0,0
2021-04-16 04:40:00+00:00,56,2,1460,1503,40,1007,117,2682,1152203276,0,0,0,0
2021-04-16 04:45:00+00:00,57,2,1458,2287,38,907,120,2676,1155801852,0,0,0,0
2021-04-16 04:50:00+00:00,58,2,1390,453,41,19,117,2693,1156736664,0,0,0,0
2021-04-16 04:55:00+00:00,59,2,2425,2253,465,1535,109,2689,1153273600,0,0,0,0
2021-04-16 05:00:00+00:00,60,2,1420,2220,41,1367,113,2679,1132709932,0,0,0,0
2021-04-16 05:05:00+00:00,61,2,1301,468,41,17,109,2676,1131435544,0,0,0,0
2021-04-16 05:10:00+00:00,62,2,1246,4024,29,2235,116,2682,1128910296,0,0,0,0
2021-04-16 05:15:00+00:00,63,2,1095,427,21,10,111,2673,1130167856,0,0,0,0
2021-04-16 05:20:00+00:00,64,2,1340,510,128,40,109,2688,1129851772,0,0,0,0
2021-04-16 05:25:00+00:00,65,2,1344,490,37,15,114,2679,1127328704,0,0,0,0
2021-04-16 05:30:00+00:00,66,2,1378,441,45,40,113,2680,1128473700,0,0,0,0
2021-04-16 05:35:00+00:00,67,2,2370,4067,464,2432,125,2672,1124047980,0,0,0,0
2021-04-16 05:40:00+00:00,68,2,1318,2202,37,930,121,2681,1108739948,0,0,0,0
2021-04-16 05:45:00+00:00,69,2,1553,496,40,17,130,2681,1094821532,0,0,0,0
2021-04-16 05:50:00+00:00,70,2,1520,2236,224,1025,130,2683,1084967004,0,0,0,0
2021-04-16 05:55:00+00:00,71,2,1363,1536,34,781,139,2678,1085661116,0,0,0,0
2021-04-16 06:00:00+00:00,72,2,1503,1273,40,430,149,2682,992112464,0,0,0,0
2021-04-16 06:05:00+00:00,73,2,2394,4182,952,1743,152,2677,998335848,0,0,0,0
2021-04-16 06:10:00+00:00,74,2,4774,3110,938,1943,157,2279,1003953036,0,0,0,0
2021-04-16 06:15:00+00:00,75,2,9433,1110,3430,228,159,2682,1003833712,0,0,0,0
2021-04-16 06:20:00+00:00,76,2,1232,479,36,20,157,2674,1003818412,0,0,0,0
2021-04-16 06:25:00+00:00,77,2,1366,2275,36,1634,163,2681,1000483200,0,0,0,0
2021-04-16 06:30:00+00:00,78,2,1299,488,40,16,163,2680,1004057836,0,0,0,0
2021-04-16 06:35:00+00:00,79,2,10444,3840,3872,777,164,2681,1000569728,0,0,0,0
2021-04-16 06:40:00+00:00,80,2,1518,477,44,10,160,2679,998379440,0,0,0,0
2021-04-16 06:45:00+00:00,81,2,9052,3653,3872,882,161,2686,997468196,0,0,0,0
2021-04-16 06:50:00+00:00,82,2,5284,2401,2485,1743,1782,1066720,996064504,0,0,0,0
2021-04-16 06:55:00+00:00,83,2,1586,489,125,40,169,2675,999694796,0,0,0,0
2021-04-16 07:00:00+00:00,84,2,11600,3961,3872,1582,159,2679,1002131620,0,0,0,0
2021-04-16 07:05:00+00:00,85,2,2708,631,1428,114,170,2689,996869232,0,0,0,0
2021-04-16 07:10:00+00:00,86,2,1508,546,38,19,199,2682,991806348,0,0,0,0
2021-04-16 07:15:00+00:00,87,2,14961,2240,3872,685,188,2678,990470388,0,0,0,0
2021-04-16 07:20:00+00:00,88,2,2780,581,914,114,190,2681,989429808,0,0,0,0
2021-04-16 07:25:00+00:00,89,2,2981,2236,729,718,203,2680,832360116,0,0,0,0
2021-04-16 07:30:00+00:00,90,2,20034,2279,6858,685,210,2686,833668896,0,0,0,0
2021-04-16 07:35:00+00:00,91,2,4372,2291,1478,1479,214,2678,832079772,0,0,0,0
2021-04-16 07:40:00+00:00,92,2,24961,2346,9602,463,210,2683,834911248,0,0,0,0
2021-04-16 07:45:00+00:00,93,2,1338,502,42,19,209,2681,838520760,0,0,0,0
2021-04-16 07:50:00+00:00,94,2,24468,2048,16003,685,206,2685,837737896,0,0,0,0
2021-04-16 07:55:00+00:00,95,2,4701,565,2485,114,205,2683,833163964,0,0,0,0
2021-04-16 08:00:00+00:00,96,2,1545,4111,124,1743,215,2689,831007992,0,0,0,0
2021-04-16 08:05:00+00:00,97,2,1462,479,41,17,203,2682,831155488,0,0,0,0
2021-04-16 08:10:00+00:00,98,2,11575,5578,3872,2629,240,2684,833988336,0,0,0,0
2021-04-16 08:15:00+00:00,99,2,1372,1198,40,745,230,2677,831757904,0,0,0,0
